v1,v2,ssim
./first_upload\1904c01649e38bfc79d24b17265fb5e6948c3984c3a4aa0e9969984749ba6026.png,./second_upload\4ff0f51c278628c7ed217a37a4d1a70c68aa4b27996c31aad04b0ed11673b677.png,0.9852273514697768
./first_upload\1fab52d709efa2203bbbb57c650a28aecd3fdde861e9fcd45f5ef5728b0f9f7d.png,./second_upload\48a97931af40def9533ab513406e8260e597839422d8af8a7ef47d5736f1efe0.png,0.9694443516726005
./first_upload\732e61794389cb4f81fc1feff7e9e5444db31d1a5f7a52f6e7df48ebbc871bea.png,./second_upload\7a8a2d4ab9e53740de1960c6e0e5b587fb7c16afe91f8b2b63000a2c841d7be9.png,0.8501565771123663
./first_upload\899d3fee519b030919f8ce4aeca2dea654098c4a4b523c02c9f9c76367af1ae1.png,./second_upload\48a97931af40def9533ab513406e8260e597839422d8af8a7ef47d5736f1efe0.png,0.995480982439009
./first_upload\92c5a06ea80011c928652b681fb27bbcc481695298fa0db8c1023c2e6fe58495.png,./second_upload\7a8a2d4ab9e53740de1960c6e0e5b587fb7c16afe91f8b2b63000a2c841d7be9.png,0.8081260334671426
./first_upload\a479fc6d1286b343bd360929ebb999093749ba7c665733fae41b460b71aa7c0e.png,./second_upload\7a8a2d4ab9e53740de1960c6e0e5b587fb7c16afe91f8b2b63000a2c841d7be9.png,0.7922225466534919
./first_upload\a972a1276f94514672dea3a3ad839aef1986f1a65ee098ccbf7c1dfc6e82067d.png,./second_upload\7a8a2d4ab9e53740de1960c6e0e5b587fb7c16afe91f8b2b63000a2c841d7be9.png,0.7639104013642402
./first_upload\aa9f134bdcc6715d5e61872fddb257574dd1a269eaf1a1ee357e05d35afb8a3a.png,./second_upload\88f05e0658a3fecc1dee32a2e874d16d71b20c7b2a66fdcca3d8ddef869486d2.png,0.9999236300415257
./first_upload\c15fb6a6855db92cc7f2e03ee28fd94710f20580e624116f6f4e20a5e77bcf3a.png,./second_upload\7a8a2d4ab9e53740de1960c6e0e5b587fb7c16afe91f8b2b63000a2c841d7be9.png,0.8232747223898237
./first_upload\d084eb1ad2c586695d0b66a2dd778f1141f254b4f9666800254e63b93e14f665.png,./second_upload\d2e6d1209b31561f813cb1694050573adb282bc47f89163192eb28c70ef53238.png,0.9955957261774738
